Tgl,Pagi,Sore,Jumlah,pecah,Dos,butir,Kirim,Sisa
11/7/2020,974,934,1908,22,,,0,3564
11/8/2020,1002,981,1983,21,,,0,5526
11/9/2020,982,985,1967,22,32,150,4800,744
11/10/2020,959,941,1900,20,,,0,2624
11/11/2020,975,992,1967,21,,,0,4570
11/12/2020,947,990,1937,21,,,0,6486
11/13/2020,904,954,1858,19,30,150,4500,3675
11/14/2020,948,912,1860,20,,,0,4625
11/15/2020,905,902,1807,20,,,0,5962
11/16/2020,915,878,1793,22,20,150,3000,4343
11/17/2020,903,902,1805,21,,,0,4087
11/18/2020,901,902,1803,21,,,0,5869
11/19/2020,880,920,1800,20,,,0,7649
11/20/2020,900,898,1798,19,40,150,6000,3278
11/21/2020,852,884,1736,20,,,0,3549
11/22/2020,901,827,1728,19,,,0,5258
11/23/2020,865,857,1722,21,,,0,6959
11/24/2020,904,833,1737,21,,,0,6570
11/25/2020,906,836,1742,20,,,0,8292
11/26/2020,908,842,1750,19,,,0,10023
11/27/2020,905,852,1757,18,40,150,6000,5762
11/28/2020,907,854,1761,21,,,0,4442
11/29/2020,909,861,1770,21,,,0,5891
11/30/2020,885,847,1732,20,30,150,4500,2573
12/1/2020,895,842,1737,22,,,0,2738
12/2/2020,873,885,1758,21,,,0,4475
12/3/2020,858,887,1745,19,,,0,6201
12/4/2020,822,862,1684,22,40,150,6000,1773
12/5/2020,863,809,1672,22,,,0,3423
12/6/2020,885,856,1741,19,,,0,5145
12/7/2020,889,850,1739,22,30,150,4500,687
12/8/2020,820,832,1652,20,,,0,2149
12/9/2020,813,841,1654,20,,,0,3783
12/10/2020,826,833,1659,22,,,0,5195
12/11/2020,832,829,1661,20,40,150,6000,711
12/12/2020,814,844,1658,21,,,0,2348
12/13/2020,817,827,1644,22,,,0,3970
12/14/2020,819,833,1652,20,30,150,4500,1052
12/15/2020,805,850,1655,21,,,0,2686
12/16/2020,822,834,1656,23,,,0,4204
12/17/2020,818,835,1653,19,,,0,5838
12/18/2020,829,835,1649,22,40,150,6000,1315
12/19/2020,815,816,1631,19,,,0,2296
12/20/2020,809,802,1611,20,,,0,3437
12/21/2020,818,771,1589,20,30,150,4500,431
12/22/2020,801,802,1603,19,,,0,2015
12/23/2020,801,803,1604,18,,,0,3601
12/24/2020,812,788,1600,22,,,0,5179
12/25/2020,813,802,1615,21,40,150,6000,773
12/26/2020,802,808,1610,21,,,0,2302
12/27/2020,808,801,1609,19,,,0,3892
12/28/2020,810,801,1611,22,,,0,5346
12/29/2020,802,806,1608,22,,,0,3772
12/30/2020,774,844,1618,19,,,0,5371
12/31/2020,804,822,1626,21,,,0,6976
